;ANO_LETIVO;CD_DIRETORIA;NM_DIRETORIA;APR_1;REP_1;ABA_1;APR_2;REP_2;ABA_2;APR_3;REP_3;ABA_3;CD_DIRETORIA_ANO
5;2021;10208;LESTE 4;99.47;0.31;0.22;98.37;1.49;0.14;95.89;3.68;0.43;102082021
6;2021;10211;LESTE 3;98.73;0.54;0.73;96.99;1.34;1.67;92.93;3.71;3.36;102112021
7;2021;20504;FRANCA;99.84;0.14;0.02;99.33;0.37;0.3;97.94;0.98;1.08;205042021
8;2021;20404;CAMPINAS OESTE;99.44;0.35;0.21;98.9;0.55;0.55;98.15;1.28;0.57;204042021
9;2021;20710;SAO JOSE DO RIO PRETO;0.0;0.0;0.0;99.22;0.77;0.01;97.51;2.26;0.23;207102021
10;2021;20604;LINS;100.0;0.0;0.0;99.63;0.25;0.12;99.22;0.52;0.26;206042021
11;2021;20410;PIRACICABA;100.0;0.0;0.0;99.85;0.0;0.15;99.6;0.04;0.36;204102021
12;2021;20908;SANTO ANASTACIO;99.91;0.09;0.0;98.17;1.71;0.12;93.44;5.99;0.57;209082021
13;2021;20802;ARACATUBA;100.0;0.0;0.0;99.87;0.09;0.04;99.92;0.07;0.01;208022021
14;2021;21102;REGISTRO;100.0;0.0;0.0;99.29;0.48;0.23;98.21;1.34;0.45;211022021
15;2021;20510;SAO JOAQUIM DA BARRA;100.0;0.0;0.0;99.97;0.03;0.0;99.45;0.12;0.43;205102021
16;2021;10314;SUL 2;99.62;0.27;0.11;98.85;1.06;0.09;97.71;1.86;0.43;103142021
17;2021;20301;APIAI;100.0;0.0;0.0;99.76;0.17;0.07;98.89;0.62;0.49;203012021
18;2021;10606;SAO BERNARDO DO CAMPO;100.0;0.0;0.0;99.05;0.74;0.21;97.12;2.42;0.46;106062021
19;2021;10205;LESTE 5;99.45;0.5;0.05;98.66;1.17;0.17;96.69;2.99;0.32;102052021
20;2021;20407;JUNDIAI;0.0;0.0;0.0;99.51;0.32;0.17;98.76;0.68;0.56;204072021
21;2021;20501;ARARAQUARA;99.99;0.01;0.0;99.49;0.14;0.37;99.19;0.41;0.4;205012021
22;2021;10706;TABOAO DA SERRA;99.88;0.09;0.03;99.8;0.18;0.02;99.18;0.68;0.14;107062021
23;2021;20401;AMERICANA;99.69;0.2;0.11;98.9;0.88;0.22;95.4;3.73;0.87;204012021
24;2021;20507;RIBEIRAO PRETO;98.91;0.49;0.6;97.08;2.1;0.82;94.38;3.51;2.11;205072021
25;2021;10601;DIADEMA;99.87;0.06;0.07;99.44;0.54;0.02;98.28;1.21;0.51;106012021
26;2021;20419;CAPIVARI;0.0;0.0;0.0;99.06;0.18;0.76;96.98;0.52;2.5;204192021
27;2021;20204;PINDAMONHANGABA;0.0;0.0;0.0;99.51;0.45;0.04;97.85;1.62;0.53;202042021
28;2021;10317;SUL 1;99.58;0.35;0.07;97.64;2.18;0.18;96.36;3.31;0.33;103172021
29;2021;10701;CARAPICUIBA;99.07;0.67;0.26;98.0;1.68;0.32;95.86;3.56;0.58;107012021
30;2021;10403;GUARULHOS NORTE;99.72;0.11;0.17;99.22;0.67;0.11;97.35;2.3;0.35;104032021
31;2021;20502;BARRETOS;0.0;0.0;0.0;100.0;0.0;0.0;99.83;0.14;0.03;205022021
32;2021;21006;TUPA;99.97;0.03;0.0;99.67;0.32;0.01;99.08;0.77;0.15;210062021
33;2021;20602;JAU;99.53;0.47;0.0;99.69;0.25;0.06;99.01;0.87;0.12;206022021
34;2021;20310;VOTORANTIM;100.0;0.0;0.0;99.56;0.1;0.34;98.11;0.4;1.49;203102021
35;2021;20207;JACAREI;100.0;0.0;0.0;99.57;0.3;0.13;97.65;1.55;0.8;202072021
36;2021;20702;FERNANDOPOLIS;100.0;0.0;0.0;99.94;0.06;0.0;99.97;0.03;0.0;207022021
37;2021;10704;OSASCO;87.5;12.5;0.0;98.59;0.97;0.44;96.96;2.06;0.98;107042021
38;2021;20413;SAO JOAO DA BOA VISTA;99.8;0.17;0.03;99.03;0.62;0.35;96.05;2.62;1.33;204132021
39;2021;20711;VOTUPORANGA;100.0;0.0;0.0;99.97;0.02;0.01;99.78;0.04;0.18;207112021
40;2021;20307;SAO ROQUE;0.0;0.0;0.0;99.43;0.18;0.39;97.94;1.44;0.62;203072021
41;2021;21003;MARILIA;99.81;0.19;0.0;99.44;0.5;0.06;98.68;0.98;0.34;210032021
42;2021;20313;ITARARE;100.0;0.0;0.0;99.21;0.48;0.31;97.3;1.6;1.1;203132021
43;2021;20703;JALES;100.0;0.0;0.0;99.95;0.05;0.0;99.12;0.88;0.0;207032021
44;2021;20417;CAMPINAS LESTE;99.93;0.07;0.0;99.55;0.33;0.12;98.32;1.47;0.21;204172021
45;2021;20208;CARAGUATATUBA;100.0;0.0;0.0;99.93;0.07;0.0;99.68;0.31;0.01;202082021
46;2021;20302;AVARE;100.0;0.0;0.0;99.33;0.64;0.03;98.66;0.88;0.46;203022021
47;2021;20202;GUARATINGUETA;100.0;0.0;0.0;98.35;1.53;0.12;96.95;2.75;0.3;202022021
48;2021;10401;CAIEIRAS;99.94;0.06;0.0;99.74;0.12;0.14;99.4;0.29;0.31;104012021
49;2021;10501;MOGI DAS CRUZES;99.41;0.59;0.0;99.17;0.7;0.13;97.04;2.2;0.76;105012021
50;2021;20408;LIMEIRA;100.0;0.0;0.0;99.15;0.64;0.21;98.54;0.8;0.66;204082021
51;2021;20102;SANTOS;99.83;0.09;0.08;99.22;0.31;0.47;97.78;1.03;1.19;201022021
52;2021;20308;SOROCABA;99.84;0.16;0.0;99.65;0.28;0.07;99.02;0.75;0.23;203082021
